Region_id,ZIP,City,Lat,Lng
101,7000,Eisenstadt,47.84588,16.51807
101,7011,Siegendorf,47.78149,16.54232
103,7091,Breitenbrunn am Neusiedler See,47.86504,16.77756
103,7082,Donnerskirchen,47.89763,16.64179
103,7051,Großhöflein,47.83219,16.48159
103,7053,Hornstein,47.88073,16.4445
103,7013,Klingenbach,47.75547,16.54
103,7072,Mörbisch am See,47.75509,16.66846
103,7052,Müllendorf,47.8379,16.46121
103,2491,Neufeld an der Leitha,47.86744,16.37666
103,7063,Oggau,47.83153,16.66353
103,7064,Oslip,47.82968,16.61851
103,7083,Purbach am Neusiedler See,47.91354,16.69513
103,7081,Schützen am Gebirge,47.85026,16.62385
103,7062,St. Margarethen im Burgenland,47.80403,16.60731
103,7035,Steinbrunn,47.83591,16.41534
103,7061,Trausdorf an der Wulka,47.81409,16.55738
103,7041,Wulkaprodersdorf,47.79597,16.50102
103,7034,Zillingtal,47.81509,16.40861
104,7521,Eberau,47.10791,16.45979
104,7542,Gerersdorf bei Güssing,47.06845,16.25645
104,7540,Güssing,47.05938,16.32394
104,7543,Kukmirn,47.07392,16.20596
104,7534,Olbendorf,47.1906,16.204
104,7533,Ollersdorf im Burgenland,47.183,16.16406
104,7535,St. Michael im Burgenland,47.12756,16.26922
104,7551,Stegersbach,47.16022,16.16579
104,7552,Stinatz,47.20392,16.13166
104,7522,Strem,47.0445,16.41417
105,7572,Deutsch Kaltenbrunn,47.08754,16.10646
105,7564,Dobersdorf,47.02474,16.14552
105,7562,Eltendorf,47.00771,16.20177
105,7561,Heiligenkreuz im Lafnitztal,46.98849,16.25846
105,8380,Jennersdorf,46.93716,16.1406
105,7563,Königsdorf,47.00376,16.17042
105,8384,Minihof-Liebau,46.8817,16.07308
105,8382,Mogersdorf,46.94746,16.22784
105,8385,Neuhaus am Klausenbach,46.86842,16.03043
105,7571,Rudersdorf,47.05114,16.12009
105,8383,St. Martin an der Raab,46.921,16.13351
106,7202,Bad Sauerbrunn,47.77464,16.32511
106,7021,Draßburg,47.74555,16.48794
106,7212,Forchtenstein,47.71148,16.34498
106,7024,Hirm,47.78717,16.45502
106,7031,Krensdorf,47.78621,16.41517
106,7221,Marz,47.7148,16.41163
106,7210,Mattersburg,47.7369,16.39779
106,7201,Neudörfl,47.79587,16.29764
106,7033,Pöttsching,47.80246,16.37597
106,7222,Rohrbach bei Mattersburg,47.71044,16.42457
106,7022,Schattendorf,47.714,16.51491
106,7223,Sieggraben,47.64945,16.37929
